Distance,Diameter,RAS_R,RAS_A,RAS_S,FFR
0,3.26148,14.5244,-29.3902,-3.96484,0.6
0.00616985,3.26954,14.5206,-29.387,-3.96851,
0.0482345,3.2638,14.4793,-29.3858,-3.9762,
0.118918,3.23868,14.4086,-29.383,-3.97601,
0.253615,3.19806,14.2745,-29.3704,-3.97746,
0.303304,3.18386,14.2254,-29.3632,-3.97951,
0.411568,3.15493,14.1178,-29.3519,-3.98304,
0.443513,3.14604,14.0859,-29.3509,-3.98448,
0.496155,3.1303,14.0333,-29.3503,-3.98521,
0.564987,3.10794,13.9646,-29.3489,-3.98979,
0.677166,3.0761,13.8525,-29.3466,-3.99223,
0.685022,3.07391,13.8446,-29.3467,-3.9922,
0.79678,3.04736,13.7348,-29.3269,-3.98559,
0.801238,3.04588,13.7304,-29.3265,-3.9856,
0.834764,3.03163,13.697,-29.3265,-3.98867,
0.847586,3.02578,13.6842,-29.3265,-3.98938,
0.90852,2.99748,13.6233,-29.3285,-3.99199,
0.911782,2.99589,13.6201,-29.3287,-3.99234,
0.948951,2.97718,13.5831,-29.3296,-3.99623,
0.96459,2.96778,13.5676,-29.3307,-3.99705,
0.973002,2.96287,13.5593,-29.3296,-3.99628,
1.04438,2.92017,13.4879,-29.3269,-3.99739,
1.04756,2.91835,13.4848,-29.3266,-3.99738,
1.06148,2.90925,13.4709,-29.327,-3.99812,
1.12454,2.86715,13.408,-29.3272,-4.00275,
1.16226,2.8416,13.3703,-29.3276,-4.00386,
1.18174,2.82815,13.3508,-29.3267,-4.00432,
1.22857,2.79717,13.3044,-29.3211,-4.00372,
1.24589,2.7852,13.2871,-29.3204,-4.00496,
1.25275,2.78024,13.2802,-29.3202,-4.00529,
1.25462,2.77894,13.2784,-29.32,-4.00521,
1.32642,2.72671,13.2068,-29.3202,-4.01074,
1.3473,2.71119,13.186,-29.3214,-4.01239,
1.34792,2.71072,13.1854,-29.3214,-4.01241,
1.36937,2.69453,13.164,-29.3203,-4.0133,
1.48877,2.60801,13.0457,-29.3295,-4.02696,
1.54327,2.57064,12.9914,-29.3284,-4.0306,
1.7036,2.47812,12.8347,-29.3479,-4.05862,
1.7811,2.44223,12.7598,-29.358,-4.0756,
1.80085,2.43291,12.7407,-29.3607,-4.07983,
1.82121,2.4232,12.721,-29.3633,-4.08441,
1.83132,2.41825,12.7111,-29.364,-4.08641,
1.8319,2.41796,12.7106,-29.3641,-4.08658,
1.90733,2.37949,12.6421,-29.3851,-4.11021,
1.9516,2.35687,12.5999,-29.3949,-4.11933,
2.29126,2.25184,12.2625,-29.4122,-4.15438,
2.33041,2.24652,12.2254,-29.4198,-4.16443,
2.34645,2.24423,12.21,-29.4225,-4.16793,
2.36984,2.24043,12.1877,-29.4267,-4.17383,
2.38527,2.23709,12.173,-29.4297,-4.17708,
2.41067,2.2321,12.1489,-29.4351,-4.18292,
2.45615,2.22164,12.1043,-29.441,-4.1898,
2.52617,2.21123,12.0359,-29.4504,-4.2014,
2.57103,2.2045,11.9924,-29.4585,-4.20872,
2.62766,2.20008,11.9379,-29.469,-4.22001,
2.65519,2.19866,11.9114,-29.4738,-4.22605,
2.66979,2.19796,11.8974,-29.4761,-4.22939,
2.70191,2.19661,11.8667,-29.4807,-4.23742,
2.72547,2.19533,11.844,-29.4844,-4.24278,
2.75715,2.19413,11.8137,-29.489,-4.25067,
2.76176,2.1939,11.8093,-29.4897,-4.25186,
2.81611,2.19281,11.7568,-29.4966,-4.264,
2.8264,2.19215,11.7468,-29.4977,-4.2663,
2.88597,2.18526,11.6892,-29.5053,-4.27937,
2.97863,2.17717,11.5995,-29.517,-4.29966,
