Distance,Diameter,RAS_R,RAS_A,RAS_S,FFR
0,1.75234,12.0879,-14.2396,-3.27933,0.86
0.00479865,1.75084,12.0907,-14.2417,-3.27611,
0.0382299,1.74,12.1113,-14.2551,-3.2534,
0.0453166,1.73767,12.1155,-14.2576,-3.24826,
0.0726997,1.72829,12.1323,-14.2648,-3.2279,
0.111197,1.71588,12.1549,-14.2738,-3.19802,
0.238454,1.68933,12.2334,-14.3049,-3.10285,
0.274864,1.68562,12.2571,-14.318,-3.07847,
0.274976,1.68561,12.2571,-14.318,-3.07839,
0.302978,1.68357,12.2746,-14.3257,-3.05791,
0.304912,1.68336,12.2759,-14.3263,-3.05655,
0.348126,1.67822,12.3031,-14.3436,-3.0278,
0.34882,1.67814,12.3035,-14.3439,-3.02735,
0.36467,1.67621,12.314,-14.3491,-3.01662,
0.434622,1.668,12.3573,-14.3744,-2.96788,
0.498344,1.66756,12.3977,-14.3963,-2.92372,
0.534045,1.66962,12.4201,-14.4102,-2.8996,
0.536706,1.66986,12.4217,-14.4112,-2.89775,
0.565807,1.6717,12.4386,-14.4215,-2.87645,
0.595675,1.67386,12.4568,-14.4334,-2.85598,
0.622879,1.67588,12.4729,-14.4449,-2.83727,
0.633233,1.67619,12.4792,-14.4472,-2.82941,
0.686271,1.67803,12.5111,-14.4669,-2.79189,
0.777328,1.69043,12.5683,-14.4978,-2.72814,
0.783762,1.69147,12.5725,-14.4999,-2.7237,
0.811214,1.69563,12.5898,-14.5081,-2.70406,
0.847674,1.70119,12.6139,-14.5218,-2.68034,
0.870028,1.70473,12.6281,-14.5308,-2.66563,
0.872421,1.70503,12.6297,-14.5318,-2.66409,
0.911617,1.70934,12.6545,-14.5472,-2.63805,
0.92265,1.71053,12.6618,-14.5517,-2.63103,
0.954322,1.71445,12.6821,-14.5653,-2.61092,
0.988914,1.71907,12.7039,-14.5811,-2.58925,
0.991327,1.71949,12.7055,-14.5822,-2.58778,
1.02557,1.72577,12.728,-14.5969,-2.56654,
1.0478,1.73022,12.7431,-14.6053,-2.55256,
1.0652,1.73363,12.7546,-14.612,-2.54127,
1.0816,1.73686,12.7653,-14.6178,-2.53031,
1.09866,1.74012,12.7768,-14.6237,-2.51921,
1.11326,1.74252,12.7863,-14.6292,-2.50958,
1.13307,1.74489,12.7998,-14.6369,-2.49734,
1.16316,1.74685,12.8194,-14.6517,-2.47985,
1.16321,1.74685,12.8194,-14.6517,-2.47982,
1.17644,1.74732,12.8282,-14.6587,-2.47284,
1.22836,1.74978,12.8618,-14.6852,-2.44348,
1.27693,1.75413,12.8947,-14.7087,-2.41662,
1.29364,1.75585,12.9056,-14.7175,-2.40744,
