Distance,Diameter,RAS_R,RAS_A,RAS_S,FFR
0,1.29831,13.4128,9.82235,-28.2788,0.76
0.0076721,1.29661,13.4087,9.8272,-28.2831,
0.0362768,1.29047,13.3895,9.8433,-28.2969,
0.0602313,1.28496,13.3735,9.85631,-28.3091,
0.0808478,1.28063,13.3593,9.86759,-28.3189,
0.0964857,1.27708,13.3484,9.87578,-28.3266,
0.124715,1.27137,13.3287,9.891,-28.34,
0.150874,1.26544,13.3105,9.90579,-28.3516,
0.185196,1.25932,13.2871,9.92615,-28.3662,
0.221068,1.25483,13.263,9.94839,-28.3806,
0.256447,1.25188,13.2385,9.96926,-28.3955,
0.270728,1.25077,13.2294,9.97799,-28.4022,
0.280445,1.24997,13.222,9.98313,-28.4058,
0.30332,1.2472,13.2038,9.99373,-28.4147,
0.353465,1.24097,13.1655,10.019,-28.435,
0.354442,1.24086,13.1648,10.0195,-28.4353,
0.437023,1.23573,13.1014,10.0637,-28.4645,
0.446052,1.2359,13.0946,10.0688,-28.4675,
0.455464,1.23587,13.0877,10.0742,-28.4709,
0.471891,1.23544,13.0768,10.0849,-28.4769,
0.497683,1.23487,13.0607,10.1022,-28.4875,
0.521933,1.23461,13.045,10.1182,-28.4965,
0.526353,1.2343,13.0421,10.121,-28.4983,
0.531388,1.23392,13.0385,10.124,-28.5003,
0.625357,1.23639,12.9789,10.1861,-28.5379,
0.625574,1.23643,12.9787,10.1862,-28.5379,
0.634416,1.23797,12.9735,10.1924,-28.5416,
0.664339,1.24329,12.9543,10.2125,-28.5526,
0.669974,1.24428,12.9506,10.2161,-28.5548,
0.686018,1.24631,12.9366,10.2226,-28.5594,
0.686109,1.24632,12.9366,10.2226,-28.5594,
0.697311,1.24769,12.9268,10.2272,-28.5623,
0.704932,1.24842,12.921,10.2317,-28.5646,
0.747925,1.25283,12.8924,10.2595,-28.5806,
0.84756,1.27264,12.8183,10.317,-28.6141,
0.890997,1.28728,12.7882,10.3446,-28.629,
0.918825,1.29629,12.7683,10.3624,-28.6368,
0.93448,1.3009,12.7559,10.371,-28.6412,
0.967971,1.31066,12.7299,10.39,-28.6501,
1.01306,1.32527,12.6924,10.4121,-28.6621,
1.01717,1.32659,12.689,10.414,-28.6633,
1.0526,1.33916,12.6636,10.4358,-28.675,
1.09213,1.35524,12.6386,10.4634,-28.6882,
1.11259,1.36268,12.6227,10.4752,-28.6935,
1.15142,1.37635,12.591,10.496,-28.7017,
1.19793,1.39459,12.5526,10.5196,-28.7129,
1.21474,1.40202,12.54,10.5294,-28.7182,
1.24842,1.41725,12.5151,10.5498,-28.7281,
1.26866,1.42581,12.4984,10.5598,-28.7336,
1.27089,1.42674,12.4966,10.5611,-28.7342,
1.31437,1.4455,12.4639,10.5874,-28.7456,
1.32007,1.44823,12.4596,10.5909,-28.747,
1.38687,1.48211,12.4123,10.6344,-28.765,
1.43918,1.50759,12.3714,10.6642,-28.7784,
1.4395,1.50771,12.3712,10.6644,-28.7784,
1.48587,1.52763,12.3352,10.6916,-28.7891,
1.50021,1.53374,12.3237,10.6996,-28.7925,
1.50656,1.53667,12.3187,10.7032,-28.7938,
1.55459,1.55879,12.2819,10.7319,-28.8051,
1.57562,1.56923,12.2656,10.7444,-28.8096,
1.58232,1.57208,12.2597,10.7475,-28.8104,
1.58797,1.57434,12.2547,10.7499,-28.8114,
1.60652,1.5819,12.2396,10.7601,-28.8149,
1.62395,1.58922,12.226,10.7706,-28.8181,
1.64644,1.59831,12.2094,10.7848,-28.8232,
1.68196,1.6137,12.1844,10.8088,-28.8309,
1.68437,1.61472,12.1826,10.8104,-28.8314,
1.71199,1.62544,12.1623,10.8281,-28.8373,
1.72474,1.62985,12.1518,10.8351,-28.8392,
1.72496,1.62993,12.1516,10.8353,-28.8393,
1.74324,1.63635,12.1371,10.8458,-28.8426,
1.75638,1.64122,12.1266,10.8534,-28.8448,
1.75643,1.64124,12.1265,10.8534,-28.8448,
