Distance,Diameter,Radius,FFR,text
0,3.19989,1.599945,0.95,0 1.599945 0
0.0323637,3.24029,1.620145,,0.0323637 1.620145 0
0.235616,3.23459,1.617295,,0.235616 1.617295 0
0.283575,3.23883,1.619415,,0.283575 1.619415 0
0.323168,3.24147,1.620735,,0.323168 1.620735 0
0.343289,3.24303,1.621515,,0.343289 1.621515 0
0.396064,3.24656,1.62328,,0.396064 1.62328 0
0.434775,3.24931,1.624655,,0.434775 1.624655 0
0.521596,3.25784,1.62892,,0.521596 1.62892 0
0.525077,3.2582,1.6291,,0.525077 1.6291 0
0.525598,3.25826,1.62913,,0.525598 1.62913 0
0.541355,3.25985,1.629925,,0.541355 1.629925 0
0.585249,3.26313,1.631565,,0.585249 1.631565 0
0.732097,3.27955,1.639775,,0.732097 1.639775 0
0.818188,3.29613,1.648065,,0.818188 1.648065 0
0.921232,3.31392,1.65696,,0.921232 1.65696 0
0.921824,3.31403,1.657015,,0.921824 1.657015 0
0.945932,3.31879,1.659395,,0.945932 1.659395 0
0.946275,3.31886,1.65943,,0.946275 1.65943 0
1.03158,3.33633,1.668165,,1.03158 1.668165 0
1.09717,3.35359,1.676795,,1.09717 1.676795 0
1.13371,3.36191,1.680955,,1.13371 1.680955 0
1.19092,3.37466,1.68733,,1.19092 1.68733 0
1.20891,3.37782,1.68891,,1.20891 1.68891 0
1.23115,3.38139,1.690695,,1.23115 1.690695 0
1.23562,3.38207,1.691035,,1.23562 1.691035 0
1.25288,3.38396,1.69198,,1.25288 1.69198 0
1.31826,3.39068,1.69534,,1.31826 1.69534 0
1.4303,3.40576,1.70288,,1.4303 1.70288 0
1.58899,3.43827,1.719135,,1.58899 1.719135 0
1.6411,3.45256,1.72628,,1.6411 1.72628 0
1.66583,3.45917,1.729585,,1.66583 1.729585 0
1.74172,3.47314,1.73657,,1.74172 1.73657 0
1.78255,3.47787,1.738935,,1.78255 1.738935 0
1.79923,3.4808,1.7404,,1.79923 1.7404 0
1.90185,3.49676,1.74838,,1.90185 1.74838 0
2.03179,3.52485,1.762425,,2.03179 1.762425 0
2.1125,3.548,1.774,,2.1125 1.774 0
2.11574,3.54899,1.774495,,2.11574 1.774495 0
2.15172,3.55829,1.779145,,2.15172 1.779145 0
2.1785,3.56511,1.782555,,2.1785 1.782555 0
2.22555,3.57863,1.789315,,2.22555 1.789315 0
2.28292,3.59188,1.79594,,2.28292 1.79594 0
2.31697,3.59982,1.79991,,2.31697 1.79991 0
2.35992,3.60644,1.80322,,2.35992 1.80322 0
2.35999,3.60645,1.803225,,2.35999 1.803225 0
2.37941,3.60958,1.80479,,2.37941 1.80479 0
2.4378,3.61785,1.808925,,2.4378 1.808925 0
2.45117,3.62072,1.81036,,2.45117 1.81036 0
2.47543,3.62287,1.811435,,2.47543 1.811435 0
2.54123,3.61723,1.808615,,2.54123 1.808615 0
2.54443,3.61678,1.80839,,2.54443 1.80839 0
2.55776,3.61413,1.807065,,2.55776 1.807065 0
2.57628,3.60949,1.804745,,2.57628 1.804745 0
2.58042,3.60835,1.804175,,2.58042 1.804175 0
2.62124,3.59253,1.796265,,2.62124 1.796265 0
2.69847,3.56161,1.780805,,2.69847 1.780805 0
2.69978,3.56111,1.780555,,2.69978 1.780555 0
2.78,3.53059,1.765295,,2.78 1.765295 0
2.88091,3.49539,1.747695,,2.88091 1.747695 0
2.88106,3.49534,1.74767,,2.88106 1.74767 0
2.89361,3.49119,1.745595,,2.89361 1.745595 0
2.9793,3.46286,1.73143,,2.9793 1.73143 0
3.01951,3.44915,1.724575,,3.01951 1.724575 0
3.02675,3.44649,1.723245,,3.02675 1.723245 0
3.02801,3.44604,1.72302,,3.02801 1.72302 0
3.02803,3.44604,1.72302,,3.02803 1.72302 0
3.02902,3.44565,1.722825,,3.02902 1.722825 0
3.10447,3.41476,1.70738,,3.10447 1.70738 0
3.59934,3.3236,1.6618,,3.59934 1.6618 0
3.60911,3.32296,1.66148,,3.60911 1.66148 0
3.67922,3.31705,1.658525,,3.67922 1.658525 0
3.73542,3.30992,1.65496,,3.73542 1.65496 0
4.10898,3.33244,1.66622,,4.10898 1.66622 0
4.22392,3.365,1.6825,,4.22392 1.6825 0
4.24294,3.36945,1.684725,,4.24294 1.684725 0
4.24836,3.37063,1.685315,,4.24836 1.685315 0
4.28941,3.37928,1.68964,,4.28941 1.68964 0
4.3488,3.38796,1.69398,,4.3488 1.69398 0
4.35626,3.38889,1.694445,,4.35626 1.694445 0
4.37405,3.3917,1.69585,,4.37405 1.69585 0
4.50137,3.41095,1.705475,,4.50137 1.705475 0
4.62757,3.44057,1.720285,,4.62757 1.720285 0
4.68211,3.453,1.7265,,4.68211 1.7265 0
4.73127,3.46236,1.73118,,4.73127 1.73118 0
4.78248,3.47218,1.73609,,4.78248 1.73609 0
4.78257,3.47219,1.736095,,4.78257 1.736095 0
4.79408,3.47403,1.737015,,4.79408 1.737015 0
4.80408,3.47551,1.737755,,4.80408 1.737755 0
4.83827,3.47951,1.739755,,4.83827 1.739755 0
4.88082,3.4843,1.74215,,4.88082 1.74215 0
4.88164,3.48439,1.742195,,4.88164 1.742195 0
4.9837,3.49645,1.748225,,4.9837 1.748225 0
4.98388,3.49648,1.74824,,4.98388 1.74824 0
5.03055,3.50417,1.752085,,5.03055 1.752085 0
5.03435,3.50481,1.752405,,5.03435 1.752405 0
5.10634,3.51397,1.756985,,5.10634 1.756985 0
