Distance,Diameter,RAS_R,RAS_A,RAS_S,FFR
0,1.66175,8.52936,-26.1369,-13.2532,0.75
0.0966191,1.6164,8.44619,-26.1005,-13.2202,
0.112162,1.60882,8.43254,-26.0951,-13.215,
0.158879,1.58629,8.38917,-26.0819,-13.2037,
0.348195,1.50354,8.2234,-26.0159,-13.1404,
0.405745,1.48766,8.16897,-26.0038,-13.1262,
0.410985,1.48593,8.16462,-26.0019,-13.124,
0.412207,1.48548,8.16356,-26.0015,-13.1235,
0.561292,1.43673,8.03278,-25.9514,-13.0724,
0.564902,1.43623,8.02961,-25.95,-13.0714,
0.651523,1.42416,7.95365,-25.9169,-13.0462,
0.675361,1.42154,7.93211,-25.9096,-13.0391,
0.72306,1.41467,7.89004,-25.8944,-13.0225,
0.855347,1.40629,7.76737,-25.856,-12.9912,
0.855347,1.40629,7.76737,-25.856,-12.9912,
0.855351,1.40629,7.76737,-25.856,-12.9912,
0.912045,1.40544,7.71562,-25.8381,-12.9765,
0.919841,1.40557,7.70836,-25.8358,-12.9749,
0.953809,1.40435,7.67699,-25.8265,-12.9658,
1.02533,1.40802,7.61133,-25.8046,-12.9477,
1.05409,1.41239,7.58461,-25.7961,-12.9414,
1.09772,1.41894,7.54466,-25.7807,-12.9329,
1.11008,1.4204,7.53333,-25.7767,-12.93,
1.16512,1.42869,7.48319,-25.7595,-12.9153,
1.18872,1.43366,7.46188,-25.7522,-12.9082,
1.23685,1.44443,7.41724,-25.7381,-12.897,
1.27159,1.45283,7.38523,-25.7271,-12.8891,
1.32164,1.46727,7.33984,-25.7085,-12.8793,
1.36215,1.47951,7.30264,-25.6954,-12.8701,
1.40714,1.49457,7.26095,-25.6829,-12.8586,
1.42278,1.49986,7.2468,-25.678,-12.8541,
1.51408,1.53557,7.16208,-25.6499,-12.8349,
1.53428,1.54235,7.14408,-25.6421,-12.8301,
1.66526,1.59718,7.02538,-25.5984,-12.796,
1.69248,1.61039,7.00074,-25.5884,-12.7903,
1.73877,1.6345,6.95919,-25.5713,-12.7792,
1.74109,1.63559,6.95711,-25.5705,-12.7785,
1.80975,1.6679,6.89456,-25.5482,-12.7611,
1.83538,1.68118,6.87103,-25.5398,-12.7553,
1.85431,1.69078,6.85353,-25.5336,-12.7516,
1.88822,1.7071,6.82245,-25.5228,-12.7434,
1.89535,1.71022,6.81595,-25.5207,-12.7414,
1.97625,1.74658,6.74128,-25.4963,-12.7222,
1.97978,1.74823,6.73805,-25.4951,-12.7213,
2.02521,1.77007,6.69609,-25.48,-12.7127,
2.04034,1.77694,6.68195,-25.4757,-12.7094,
2.06723,1.78852,6.65685,-25.4688,-12.7027,
2.1037,1.80488,6.62278,-25.459,-12.6941,
2.18149,1.84167,6.55034,-25.436,-12.6775,
2.21487,1.85848,6.52023,-25.4253,-12.6679,
2.24649,1.86967,6.49338,-25.4128,-12.6568,
2.2662,1.87693,6.47615,-25.4059,-12.6502,
2.29256,1.88717,6.45166,-25.3986,-12.6437,
2.3395,1.90178,6.40752,-25.3872,-12.6326,
2.43151,1.93925,6.32019,-25.3683,-12.6106,
2.43152,1.93925,6.32018,-25.3683,-12.6106,
2.43432,1.94033,6.31759,-25.3677,-12.6097,
2.43478,1.94048,6.31717,-25.3676,-12.6096,
2.47258,1.95266,6.28216,-25.3581,-12.599,
2.4728,1.95272,6.28195,-25.358,-12.5989,
2.47709,1.95385,6.27798,-25.3568,-12.5979,
2.56287,1.97585,6.19805,-25.3362,-12.5745,
