Distance,Diameter,RAS_R,RAS_A,RAS_S,FFR
0,2.97455,17.8727,-22.503,-25.6416,0.63
0.0185141,2.97746,17.8549,-22.505,-25.6366,
0.105704,2.9806,17.7723,-22.4992,-25.6095,
0.116678,2.98162,17.7616,-22.4992,-25.6068,
0.202387,2.98883,17.6783,-22.4957,-25.587,
0.30356,3.00292,17.5796,-22.489,-25.5661,
0.407976,3.02073,17.4792,-22.479,-25.5392,
0.51987,3.04358,17.3733,-22.4716,-25.5038,
0.563692,3.05344,17.332,-22.4668,-25.49,
0.627545,3.07274,17.2708,-22.4639,-25.472,
0.67202,3.08476,17.2277,-22.46,-25.4615,
0.683111,3.08723,17.2171,-22.4592,-25.4584,
0.722786,3.09811,17.1787,-22.4587,-25.4486,
0.911334,3.15837,16.9973,-22.4423,-25.3996,
0.911754,3.15855,16.9969,-22.4423,-25.3995,
1.01636,3.2032,16.8972,-22.4349,-25.3687,
1.04812,3.21843,16.8669,-22.4343,-25.3593,
1.07812,3.23296,16.8381,-22.4331,-25.351,
1.13862,3.2594,16.7811,-22.427,-25.3315,
1.14193,3.26067,16.778,-22.4266,-25.3305,
1.15864,3.26704,16.762,-22.4245,-25.3263,
1.23514,3.29574,16.6889,-22.4179,-25.3046,
1.23852,3.29736,16.6857,-22.4176,-25.3036,
1.44929,3.39496,16.4878,-22.3934,-25.2353,
1.44938,3.39501,16.4877,-22.3934,-25.2353,
1.4598,3.40061,16.4778,-22.3921,-25.2322,
1.46006,3.40075,16.4776,-22.392,-25.2321,
1.48156,3.41226,16.4572,-22.3893,-25.2259,
1.49191,3.41777,16.4474,-22.3883,-25.2228,
1.5055,3.42454,16.4346,-22.3868,-25.2185,
1.51776,3.43069,16.4229,-22.3862,-25.2147,
1.52328,3.43339,16.4177,-22.3858,-25.2131,
1.53185,3.43758,16.4095,-22.3853,-25.2106,
1.5345,3.43886,16.4069,-22.3851,-25.2098,
1.60553,3.47317,16.3388,-22.3797,-25.1907,
1.60566,3.47324,16.3386,-22.3797,-25.1907,
1.61639,3.47853,16.3283,-22.3787,-25.1879,
1.62229,3.4811,16.3226,-22.378,-25.1865,
1.62498,3.48218,16.3201,-22.3777,-25.1858,
1.65988,3.49637,16.2867,-22.3738,-25.1761,
1.78957,3.55143,16.1651,-22.3553,-25.135,
1.78994,3.55159,16.1648,-22.3553,-25.1349,
1.79349,3.55321,16.1615,-22.3546,-25.1338,
1.86052,3.58088,16.0992,-22.3438,-25.1115,
1.87391,3.5861,16.0864,-22.3425,-25.1077,
1.90977,3.60032,16.0523,-22.3381,-25.0975,
1.91585,3.60245,16.0466,-22.3374,-25.0956,
1.9285,3.60679,16.0346,-22.3359,-25.0918,
1.96878,3.62052,15.9965,-22.3309,-25.0798,
2.01747,3.63728,15.9504,-22.3233,-25.0662,
2.03044,3.64167,15.9381,-22.3211,-25.0627,
2.05944,3.64908,15.9105,-22.3186,-25.0542,
2.05973,3.64915,15.9102,-22.3186,-25.0541,
2.06191,3.64968,15.9081,-22.3186,-25.0536,
2.06872,3.65111,15.9016,-22.3179,-25.0518,
2.12919,3.66282,15.8437,-22.3123,-25.0351,
2.13804,3.66338,15.8352,-22.3121,-25.0325,
2.15241,3.66387,15.8214,-22.3115,-25.0286,
2.16748,3.66382,15.8069,-22.3105,-25.0246,
2.20444,3.65989,15.7722,-22.308,-25.0122,
2.20782,3.65932,15.7691,-22.3075,-25.011,
2.21436,3.65783,15.7631,-22.3061,-25.0088,
2.28437,3.63482,15.6987,-22.2957,-24.9833,
2.29198,3.632,15.6917,-22.2949,-24.9805,
2.36376,3.6029,15.6238,-22.2889,-24.958,
2.36614,3.60189,15.6215,-22.2887,-24.9573,
2.40904,3.58243,15.58,-22.2875,-24.9465,
2.4967,3.54056,15.495,-22.2859,-24.9251,
2.53867,3.52077,15.4543,-22.2832,-24.9152,
2.67795,3.45279,15.323,-22.2641,-24.873,
2.68356,3.45006,15.3175,-22.2636,-24.8717,
2.69996,3.44136,15.3018,-22.2623,-24.8672,
2.8167,3.38078,15.1896,-22.2501,-24.8376,
2.8167,3.38078,15.1896,-22.2501,-24.8376,
2.81675,3.38076,15.1895,-22.2501,-24.8376,
3.14434,3.25008,14.8725,-22.2285,-24.7578,
3.25762,3.21427,14.7669,-22.2073,-24.7228,
3.2648,3.21218,14.7601,-22.2062,-24.7209,
3.26846,3.21084,14.7566,-22.2056,-24.7198,
3.27301,3.20899,14.7526,-22.2044,-24.7181,
3.34878,3.17666,14.6794,-22.1948,-24.7009,
3.46681,3.13172,14.5655,-22.1843,-24.672,
3.55611,3.10851,14.4798,-22.1779,-24.6474,
3.67351,3.07933,14.3662,-22.1731,-24.6184,
3.72708,3.07113,14.3142,-22.1694,-24.6061,
3.80491,3.0562,14.2382,-22.1607,-24.5917,
3.83692,3.04948,14.2065,-22.1598,-24.5872,
4.00791,3.01295,14.043,-22.1359,-24.5433,
4.09459,2.99505,13.9585,-22.1369,-24.5239,
4.09997,2.99413,13.9533,-22.1368,-24.5227,
4.13943,2.98677,13.9145,-22.1372,-24.5153,
4.17126,2.9804,13.8831,-22.1366,-24.51,
4.30809,2.96067,13.7485,-22.127,-24.4877,
4.31792,2.95965,13.7388,-22.1262,-24.4863,
4.36016,2.95351,13.6969,-22.1259,-24.4806,
4.41495,2.94492,13.643,-22.1204,-24.4728,
4.4206,2.94381,13.6373,-22.1201,-24.4724,
4.51778,2.91788,13.5413,-22.1167,-24.4579,
4.59815,2.89799,13.4627,-22.1109,-24.4423,
4.66158,2.88471,13.4002,-22.1068,-24.4323,
4.66163,2.8847,13.4001,-22.1068,-24.4323,
4.67429,2.8813,13.3875,-22.1069,-24.4315,
4.86597,2.84813,13.1965,-22.0971,-24.4189,
4.93407,2.84208,13.1298,-22.0869,-24.4099,
4.97761,2.83849,13.0882,-22.0753,-24.4037,
5.00594,2.83404,13.0608,-22.0694,-24.4002,
5.00626,2.83397,13.0604,-22.0693,-24.4002,
5.11582,2.81276,12.9544,-22.0457,-24.3858,
5.12013,2.81188,12.9503,-22.0447,-24.3851,
5.15057,2.80641,12.9211,-22.037,-24.381,
5.31084,2.78166,12.7702,-21.9879,-24.3589,
5.33718,2.77834,12.7441,-21.9844,-24.3583,
5.42582,2.76971,12.6562,-21.9731,-24.3588,
5.50841,2.76653,12.5746,-21.9603,-24.3614,
5.55794,2.75983,12.5265,-21.9487,-24.3632,
5.62136,2.74991,12.4637,-21.9402,-24.3661,
5.72828,2.73338,12.3584,-21.9219,-24.3676,
5.81028,2.72058,12.2793,-21.9005,-24.3709,
5.85092,2.71832,12.2403,-21.8893,-24.3737,
6.01467,2.71272,12.0839,-21.8414,-24.3805,
6.05247,2.71531,12.0476,-21.8309,-24.381,
6.07222,2.7164,12.0289,-21.8244,-24.3816,
6.0896,2.71638,12.0124,-21.819,-24.3811,
6.14659,2.71553,11.9575,-21.8039,-24.3817,
6.32709,2.71578,11.782,-21.7623,-24.3901,
6.41778,2.7202,11.695,-21.737,-24.3924,
6.46416,2.72311,11.6503,-21.7245,-24.3916,
6.55092,2.73075,11.5662,-21.7035,-24.3881,
6.60493,2.73725,11.5144,-21.6892,-24.3831,
6.61217,2.73794,11.5075,-21.6872,-24.3821,
6.70503,2.74713,11.4175,-21.6654,-24.3748,
6.7061,2.74723,11.4165,-21.6651,-24.3748,
6.70908,2.74725,11.4136,-21.6642,-24.3745,
6.77651,2.74551,11.3481,-21.6496,-24.3686,
6.77725,2.74545,11.3474,-21.6494,-24.3685,
6.81729,2.74035,11.3076,-21.6465,-24.3649,
6.8578,2.7355,11.2681,-21.6408,-24.3578,
6.91292,2.72592,11.2144,-21.6363,-24.3464,
6.91487,2.72553,11.2125,-21.6362,-24.346,
6.98545,2.71139,11.1437,-21.6358,-24.3301,
7.02326,2.70065,11.107,-21.6364,-24.3211,
7.19902,2.65377,10.9435,-21.6193,-24.2588,
7.25297,2.6424,10.8949,-21.6134,-24.2363,
7.25298,2.6424,10.8948,-21.6134,-24.2363,
7.2539,2.64211,10.894,-21.6134,-24.236,
7.29743,2.62855,10.8536,-21.6119,-24.2199,
7.33719,2.6158,10.8168,-21.6122,-24.2047,
7.45621,2.583,10.7066,-21.6078,-24.16,
7.51589,2.56852,10.6532,-21.6049,-24.1335,
7.57216,2.55603,10.6035,-21.6035,-24.1071,
7.59156,2.55185,10.5864,-21.602,-24.0982,
7.61295,2.54672,10.5676,-21.6007,-24.088,
7.62646,2.54352,10.5559,-21.6001,-24.0814,
7.675,2.53157,10.5133,-21.5982,-24.0581,
7.68703,2.52856,10.5025,-21.5982,-24.0529,
7.79906,2.50655,10.4037,-21.5968,-24,
7.83048,2.50216,10.3767,-21.5957,-23.984,
7.88553,2.4956,10.3292,-21.5968,-23.9561,
7.95825,2.48739,10.2675,-21.5942,-23.9177,
8.0079,2.48106,10.2244,-21.5934,-23.8932,
8.08787,2.47036,10.1553,-21.5908,-23.8529,
8.08917,2.4702,10.1542,-21.5909,-23.8523,
