Distance,Diameter,RAS_R,RAS_A,RAS_S,FFR
0,1.43769,22.6307,8.01446,-8.14052,0.85
0.119875,1.42381,22.66,8.12544,-8.10593,
0.130169,1.42317,22.6623,8.13511,-8.10327,
0.147189,1.42199,22.6664,8.1509,-8.09847,
0.158347,1.42099,22.6694,8.16128,-8.09566,
0.165414,1.42034,22.6715,8.16778,-8.09379,
0.168618,1.41999,22.6725,8.1707,-8.09296,
0.228464,1.41394,22.69,8.2252,-8.07555,
0.256794,1.41127,22.6993,8.2501,-8.06577,
0.28419,1.4089,22.7074,8.27516,-8.05814,
0.285406,1.40875,22.7078,8.27627,-8.05783,
0.307287,1.40629,22.714,8.29637,-8.05179,
0.343062,1.40238,22.7238,8.32931,-8.04188,
0.352551,1.40183,22.7266,8.33805,-8.03949,
0.429894,1.39974,22.7503,8.40804,-8.0166,
0.452783,1.39982,22.757,8.42881,-8.00976,
0.46801,1.39978,22.7615,8.44256,-8.00501,
0.477941,1.39949,22.7648,8.4515,-8.0022,
0.48437,1.39906,22.7671,8.45726,-8.00049,
0.533497,1.39619,22.7824,8.50181,-7.98658,
0.536856,1.39601,22.7831,8.50499,-7.98576,
0.555151,1.39533,22.7875,8.52227,-7.98161,
0.621736,1.3975,22.8009,8.58591,-7.96733,
0.653736,1.40101,22.8092,8.6154,-7.95815,
0.659212,1.40162,22.8107,8.62049,-7.95674,
0.666273,1.40238,22.812,8.62727,-7.95526,
0.68337,1.40399,22.8148,8.64366,-7.95127,
0.688698,1.40451,22.8155,8.64883,-7.95017,
0.714537,1.40696,22.8201,8.67318,-7.94284,
0.754354,1.40929,22.8273,8.71148,-7.93472,
0.759544,1.40961,22.828,8.71652,-7.93368,
0.827335,1.41679,22.8395,8.78196,-7.92025,
0.834285,1.41794,22.8405,8.78866,-7.91871,
0.858069,1.422,22.8444,8.81148,-7.91329,
0.883315,1.42685,22.8484,8.83596,-7.90854,
0.899467,1.42984,22.8507,8.85154,-7.905,
0.906053,1.43092,22.8518,8.85781,-7.90325,
0.945955,1.43701,22.8604,8.89519,-7.89232,
0.960264,1.43925,22.8634,8.90848,-7.88793,
0.967115,1.44027,22.8651,8.91481,-7.88591,
