Distance,Diameter,RAS_R,RAS_A,RAS_S,FFR
0,1.77276,7.51302,-19.092,-14.8272,0.9
0.000129521,1.77279,7.51291,-19.092,-14.8273,
0.0147521,1.77431,7.49937,-19.087,-14.8297,
0.0394757,1.77647,7.47635,-19.0795,-14.8347,
0.124267,1.7894,7.39833,-19.0517,-14.8528,
0.124362,1.78942,7.39825,-19.0516,-14.8528,
0.132159,1.79097,7.39114,-19.0488,-14.8544,
0.132234,1.79098,7.39107,-19.0488,-14.8544,
0.151027,1.79398,7.37364,-19.0426,-14.8577,
0.160383,1.7959,7.36503,-19.0396,-14.8598,
0.169531,1.79804,7.35666,-19.0366,-14.862,
0.175649,1.79908,7.35108,-19.0344,-14.8632,
0.199529,1.80164,7.32921,-19.0259,-14.8676,
0.199671,1.80166,7.32908,-19.0259,-14.8677,
0.211435,1.80313,7.31839,-19.0221,-14.8707,
0.223588,1.80421,7.30721,-19.0182,-14.8736,
0.236011,1.80504,7.29582,-19.014,-14.8761,
0.323486,1.8031,7.21256,-18.9923,-14.892,
0.324141,1.8031,7.21193,-18.9922,-14.8921,
0.364385,1.80261,7.17327,-18.982,-14.8968,
0.388893,1.8026,7.14972,-18.9756,-14.8988,
0.424408,1.80302,7.11605,-18.9649,-14.9026,
0.424422,1.80302,7.11603,-18.9649,-14.9026,
0.427731,1.80281,7.11287,-18.964,-14.9028,
0.470224,1.80033,7.07212,-18.9523,-14.9059,
0.559901,1.79334,6.98462,-18.9352,-14.9155,
0.592231,1.79309,6.95311,-18.9283,-14.9177,
0.596275,1.79275,6.94917,-18.9274,-14.9178,
0.65182,1.79071,6.89486,-18.9159,-14.9196,
0.720283,1.79382,6.82885,-18.8977,-14.9197,
0.721272,1.79389,6.82789,-18.8975,-14.9197,
0.764573,1.79684,6.78597,-18.8867,-14.9197,
0.765435,1.79693,6.78513,-18.8865,-14.9197,
0.776546,1.79799,6.77432,-18.8839,-14.9199,
0.782733,1.7983,6.76826,-18.8827,-14.9201,
0.785321,1.79837,6.76571,-18.8822,-14.9201,
0.835854,1.79663,6.71557,-18.876,-14.9209,
0.873199,1.79704,6.67867,-18.8703,-14.9203,
0.913597,1.7994,6.63917,-18.862,-14.9183,
0.930627,1.80066,6.62274,-18.8578,-14.9169,
0.975585,1.80431,6.57915,-18.8479,-14.9121,
0.981353,1.80468,6.57349,-18.8468,-14.9117,
1.00577,1.80588,6.54945,-18.8428,-14.9104,
1.0067,1.80591,6.54852,-18.8427,-14.9104,
1.02002,1.80648,6.53541,-18.8406,-14.9093,
1.07717,1.80718,6.47875,-18.8344,-14.9051,
1.08494,1.80728,6.47107,-18.8336,-14.9042,
1.10275,1.80682,6.45345,-18.8323,-14.902,
1.12135,1.806,6.43508,-18.8301,-14.9001,
1.21771,1.80864,6.33997,-18.8205,-14.888,
1.22725,1.80985,6.33065,-18.8191,-14.8865,
1.25328,1.81399,6.3054,-18.8143,-14.8823,
1.25357,1.81403,6.30512,-18.8143,-14.8822,
1.27756,1.81709,6.28182,-18.811,-14.8775,
1.27758,1.81709,6.2818,-18.811,-14.8775,
1.28256,1.81764,6.27696,-18.8105,-14.8765,
1.31948,1.82184,6.24118,-18.8071,-14.868,
1.35321,1.82299,6.20853,-18.8052,-14.8598,
1.38556,1.82217,6.17744,-18.8046,-14.8509,
1.39727,1.82154,6.16607,-18.804,-14.8481,
1.40913,1.82042,6.15467,-18.8032,-14.845,
1.43279,1.81509,6.13199,-18.8037,-14.8383,
1.52769,1.79972,6.04188,-18.8043,-14.8085,
1.53067,1.79943,6.03904,-18.8041,-14.8076,
1.54772,1.79735,6.02298,-18.803,-14.802,
1.57213,1.79418,5.99992,-18.8022,-14.794,
1.59224,1.79098,5.98063,-18.8012,-14.7884,
1.59336,1.79075,5.97954,-18.8012,-14.7881,
1.64015,1.78246,5.93471,-18.7993,-14.7749,
1.6752,1.77616,5.90109,-18.7979,-14.7651,
