Distance,Diameter,RAS_R,RAS_A,RAS_S,FFR
0,2.06193,13.2349,-15.1237,-36.9253,0.62
0.00329411,2.06192,13.2329,-15.1233,-36.9279,
0.0647254,2.06298,13.1979,-15.1167,-36.978,
0.0674426,2.06311,13.1963,-15.1163,-36.9801,
0.105118,2.0642,13.1785,-15.1063,-37.0117,
0.128619,2.06512,13.1675,-15.1006,-37.0317,
0.150999,2.06601,13.1573,-15.0955,-37.051,
0.15877,2.06618,13.1539,-15.0939,-37.0578,
0.211093,2.06789,13.128,-15.0848,-37.1023,
0.213233,2.06798,13.1269,-15.0845,-37.1042,
0.215002,2.06802,13.1261,-15.0842,-37.1057,
0.241972,2.068,13.1123,-15.0794,-37.1284,
0.242135,2.068,13.1123,-15.0793,-37.1285,
0.282619,2.06865,13.0894,-15.074,-37.1615,
0.305509,2.06977,13.0763,-15.0708,-37.18,
0.336191,2.0716,13.0584,-15.0662,-37.2045,
0.371819,2.07454,13.0388,-15.0604,-37.2337,
0.4035,2.07735,13.022,-15.054,-37.2597,
0.418535,2.07862,13.0136,-15.0507,-37.2718,
0.430807,2.07935,13.0071,-15.0481,-37.2819,
0.515966,2.08306,12.9621,-15.0356,-37.3531,
0.588562,2.09122,12.9266,-15.018,-37.4139,
0.595305,2.09207,12.9235,-15.0164,-37.4197,
0.665292,2.10078,12.8884,-15,-37.478,
0.69764,2.10284,12.8755,-14.9901,-37.5059,
0.729696,2.10522,12.8622,-14.9802,-37.5334,
0.750539,2.10713,12.8534,-14.9735,-37.5511,
0.789122,2.11064,12.8383,-14.9615,-37.5844,
0.846731,2.11657,12.814,-14.9424,-37.6331,
0.856533,2.11775,12.81,-14.9389,-37.6413,
0.880792,2.11894,12.7973,-14.9349,-37.6616,
0.90272,2.11946,12.7875,-14.9289,-37.6803,
0.908101,2.11945,12.7851,-14.9275,-37.6849,
0.960179,2.12141,12.7594,-14.9163,-37.7288,
0.99864,2.1216,12.7424,-14.9062,-37.7618,
1.00017,2.12162,12.7417,-14.9058,-37.7631,
1.07352,2.12494,12.7072,-14.8855,-37.8245,
1.09165,2.12592,12.6992,-14.8791,-37.8395,
1.13051,2.12755,12.6813,-14.8675,-37.872,
1.14237,2.12727,12.675,-14.8654,-37.8818,
1.17758,2.12611,12.658,-14.8567,-37.9114,
1.2224,2.12451,12.6367,-14.8462,-37.9494,
1.2809,2.12386,12.6115,-14.8282,-37.9991,
1.34782,2.12631,12.5802,-14.807,-38.0542,
1.36771,2.12723,12.571,-14.8011,-38.0708,
1.40464,2.12906,12.5517,-14.7908,-38.1006,
1.40795,2.12919,12.5501,-14.7899,-38.1034,
1.41775,2.12929,12.5454,-14.787,-38.1114,
1.45688,2.12874,12.5282,-14.7754,-38.1447,
1.47751,2.12815,12.5189,-14.7689,-38.1619,
1.51651,2.1277,12.5018,-14.7572,-38.1949,
1.52832,2.1276,12.4964,-14.7538,-38.2048,
1.53507,2.12755,12.4934,-14.7517,-38.2106,
1.60097,2.12888,12.4615,-14.7326,-38.2649,
1.60605,2.12894,12.4592,-14.731,-38.2692,
1.62049,2.1289,12.4528,-14.7263,-38.2812,
1.62707,2.12886,12.4496,-14.7243,-38.2866,
1.65646,2.12865,12.4338,-14.716,-38.31,
1.71021,2.12887,12.4073,-14.7008,-38.3542,
1.71154,2.12887,12.4066,-14.7004,-38.3552,
1.7656,2.12893,12.3742,-14.6902,-38.3973,
1.78635,2.1285,12.3596,-14.6882,-38.4119,
1.80359,2.12805,12.348,-14.6858,-38.4245,
1.85347,2.12852,12.3206,-14.6747,-38.4646,
1.95033,2.13272,12.2695,-14.6488,-38.5427,
2.00042,2.13836,12.2457,-14.6352,-38.5847,
2.00046,2.13836,12.2457,-14.6352,-38.5847,
2.00985,2.1391,12.241,-14.6324,-38.5923,
2.09283,2.14733,12.1999,-14.6101,-38.6609,
2.09523,2.1477,12.1988,-14.6094,-38.6629,
2.10671,2.14915,12.1928,-14.6071,-38.6724,
2.10746,2.14922,12.1924,-14.6069,-38.673,
2.13619,2.15172,12.176,-14.6006,-38.6957,
2.15784,2.15387,12.1634,-14.5965,-38.7129,
2.19997,2.15552,12.1406,-14.5845,-38.7462,
2.2793,2.16459,12.099,-14.5628,-38.8102,
2.28444,2.16514,12.0964,-14.5614,-38.8144,
2.31249,2.16848,12.0826,-14.5528,-38.8372,
