Distance,Diameter,RAS_R,RAS_A,RAS_S,FFR
0,2.28904,6.3423,-34.6057,-5.38203,0.76
0.0865603,2.29342,6.30842,-34.5972,-5.30283,
0.170952,2.29238,6.2866,-34.579,-5.22337,
0.190935,2.29286,6.28613,-34.5715,-5.20486,
0.216372,2.29266,6.28547,-34.5629,-5.18092,
0.294919,2.29378,6.27928,-34.5369,-5.10704,
0.366991,2.29617,6.26603,-34.5214,-5.03792,
0.44619,2.30242,6.25121,-34.5073,-4.96141,
0.496139,2.30927,6.24099,-34.4971,-4.9136,
0.572884,2.3237,6.22653,-34.4782,-4.84063,
0.594543,2.32818,6.22242,-34.4721,-4.82025,
0.596852,2.32865,6.22197,-34.4715,-4.81808,
0.626041,2.33348,6.21638,-34.4642,-4.79038,
0.62606,2.33349,6.21638,-34.4642,-4.79036,
0.630852,2.33413,6.21556,-34.4628,-4.78585,
0.686243,2.34122,6.20492,-34.449,-4.73327,
0.716877,2.34564,6.19968,-34.4422,-4.70387,
0.752125,2.35101,6.194,-34.4338,-4.6701,
0.798689,2.35915,6.18839,-34.4236,-4.62501,
0.854377,2.37031,6.1804,-34.4108,-4.57142,
0.930145,2.3883,6.16152,-34.3953,-4.49968,
0.979353,2.40147,6.14598,-34.3857,-4.45401,
1.05274,2.42409,6.13731,-34.3636,-4.38455,
1.08721,2.43435,6.13148,-34.3548,-4.35174,
1.1312,2.44631,6.12555,-34.3436,-4.3096,
1.15019,2.4513,6.12281,-34.3383,-4.2916,
1.19202,2.46182,6.1167,-34.3279,-4.25154,
1.23439,2.47399,6.10971,-34.3168,-4.21125,
1.25546,2.47995,6.1061,-34.3115,-4.19118,
1.31869,2.49942,6.09017,-34.2971,-4.13169,
1.35038,2.50974,6.08178,-34.2912,-4.10172,
1.35953,2.51272,6.07878,-34.2898,-4.09319,
1.37792,2.51817,6.07028,-34.289,-4.0769,
1.38326,2.51984,6.06896,-34.2878,-4.07185,
1.38408,2.52006,6.06878,-34.2877,-4.07107,
1.39377,2.52265,6.06753,-34.2852,-4.0618,
1.41527,2.52885,6.06553,-34.2792,-4.04124,
1.4326,2.53383,6.06299,-34.2747,-4.02469,
1.45647,2.54066,6.05934,-34.2693,-4.00173,
1.49957,2.55274,6.05004,-34.2606,-3.96055,
1.58038,2.5793,6.03028,-34.243,-3.8842,
1.60181,2.58705,6.02704,-34.2366,-3.864,
1.61812,2.59238,6.02383,-34.2326,-3.84851,
1.62486,2.59451,6.02208,-34.2312,-3.84217,
1.63305,2.5971,6.02011,-34.2291,-3.83451,
1.68914,2.61496,6.00763,-34.2138,-3.78198,
1.69927,2.6181,6.00522,-34.2115,-3.77242,
1.70997,2.62102,6.00251,-34.2088,-3.76243,
1.73672,2.62809,5.99617,-34.2028,-3.73716,
1.7685,2.63649,5.988,-34.196,-3.70719,
1.78332,2.64079,5.98467,-34.1925,-3.69319,
1.80799,2.64745,5.97939,-34.1872,-3.66967,
1.82436,2.65187,5.9757,-34.1838,-3.65409,
1.82865,2.65296,5.97477,-34.1828,-3.65003,
1.87723,2.66624,5.9624,-34.1716,-3.60441,
1.90026,2.67237,5.95693,-34.1669,-3.58254,
1.9003,2.67238,5.95692,-34.1669,-3.5825,
1.90628,2.67377,5.9556,-34.1658,-3.57678,
1.90949,2.67447,5.95491,-34.1652,-3.57369,
1.90954,2.67448,5.9549,-34.1652,-3.57364,
1.92231,2.67695,5.95199,-34.1628,-3.56144,
1.95263,2.68303,5.94501,-34.1565,-3.53262,
2.004,2.6951,5.93015,-34.1464,-3.48448,
2.00433,2.69518,5.93006,-34.1464,-3.48418,
2.0243,2.7002,5.92457,-34.1429,-3.4653,
2.03883,2.70389,5.92073,-34.1404,-3.45151,
2.06461,2.70929,5.9141,-34.135,-3.4272,
2.08134,2.71205,5.91004,-34.132,-3.41122,
2.1461,2.72261,5.89509,-34.1226,-3.34892,
2.14662,2.7227,5.89498,-34.1225,-3.34842,
2.2115,2.73414,5.88127,-34.1104,-3.28618,
2.21224,2.73429,5.88112,-34.1103,-3.28546,
2.238,2.73958,5.87611,-34.1059,-3.26058,
2.23817,2.73962,5.87608,-34.1058,-3.26041,
2.2806,2.74771,5.8694,-34.0967,-3.21953,
2.30093,2.7521,5.86587,-34.0925,-3.19994,
2.31131,2.75389,5.86406,-34.0908,-3.18987,
2.41042,2.77136,5.84254,-34.0731,-3.09475,
2.41044,2.77137,5.84254,-34.0731,-3.09473,
2.41172,2.77161,5.84236,-34.0729,-3.09348,
2.47119,2.78207,5.83333,-34.0639,-3.03539,
2.52351,2.78718,5.82401,-34.0564,-2.98446,
2.61441,2.79951,5.8067,-34.0406,-2.89664,
2.6618,2.80737,5.7975,-34.0308,-2.8512,
2.69999,2.81339,5.79034,-34.0241,-2.81428,
2.73012,2.81746,5.78472,-34.0176,-2.7854,
2.73253,2.81764,5.78433,-34.0172,-2.78307,
2.76498,2.81913,5.78043,-34.0113,-2.75139,
2.80391,2.82048,5.77433,-34.0037,-2.71369,
2.84601,2.82155,5.76939,-33.9963,-2.67256,
2.85231,2.82169,5.76854,-33.9951,-2.66643,
2.91317,2.82411,5.75764,-33.9839,-2.6076,
2.93864,2.82507,5.75238,-33.9805,-2.58292,
2.95256,2.82547,5.74945,-33.9784,-2.56948,
3.00555,2.8278,5.73718,-33.9699,-2.51862,
3.01437,2.8275,5.73518,-33.9685,-2.51015,
3.09993,2.82426,5.71796,-33.9564,-2.42722,
3.10888,2.82391,5.71596,-33.9549,-2.41863,
3.1709,2.8206,5.7028,-33.9465,-2.35861,
3.20877,2.81879,5.6943,-33.9402,-2.32225,
3.26459,2.81593,5.68259,-33.9326,-2.26819,
3.3061,2.81381,5.67199,-33.9265,-2.22853,
3.36667,2.81097,5.6581,-33.919,-2.17004,
3.44992,2.80435,5.63751,-33.9101,-2.08988,
3.46802,2.80251,5.63449,-33.9073,-2.07225,
3.54436,2.79397,5.61715,-33.896,-1.99877,
3.54441,2.79397,5.61714,-33.896,-1.99872,
3.55718,2.7928,5.61371,-33.8943,-1.98654,
3.58419,2.79017,5.60769,-33.8902,-1.96053,
3.6655,2.78166,5.58859,-33.8782,-1.88242,
3.71334,2.77739,5.5755,-33.8737,-1.83662,
3.72871,2.77603,5.57246,-33.8712,-1.82177,
3.77096,2.77256,5.56659,-33.8634,-1.78067,
3.82332,2.76837,5.55678,-33.8555,-1.72984,
3.86674,2.76561,5.55091,-33.8478,-1.68751,
3.86675,2.76561,5.55091,-33.8478,-1.68749,
3.86878,2.76549,5.55056,-33.8476,-1.68552,
3.92921,2.75754,5.53663,-33.8385,-1.62741,
3.98912,2.75069,5.52219,-33.8294,-1.56998,
4.02598,2.74762,5.51512,-33.8232,-1.53435,
4.08165,2.74062,5.50221,-33.8139,-1.481,
4.1845,2.73568,5.48121,-33.7966,-1.38181,
4.27364,2.73781,5.46367,-33.7849,-1.2952,
4.28292,2.73814,5.46256,-33.7832,-1.28614,
4.38656,2.74062,5.43806,-33.7723,-1.18604,
4.39086,2.74096,5.43756,-33.7715,-1.18183,
4.46025,2.74344,5.42683,-33.759,-1.11443,
4.49833,2.74599,5.42066,-33.7532,-1.07731,
4.61653,2.75456,5.40076,-33.7315,-0.962823,
4.62138,2.75484,5.39969,-33.7306,-0.958175,
4.71492,2.76152,5.38102,-33.715,-0.867868,
4.71826,2.7618,5.38034,-33.7145,-0.864642,
4.73873,2.76363,5.37686,-33.7114,-0.844692,
4.74208,2.76385,5.37625,-33.7109,-0.841448,
4.82229,2.77066,5.35945,-33.6977,-0.764126,
4.82269,2.77069,5.35937,-33.6977,-0.76374,
4.84822,2.77335,5.35526,-33.6935,-0.738886,
4.90544,2.77791,5.34336,-33.6836,-0.683801,
4.90554,2.77792,5.34334,-33.6836,-0.68371,
4.92886,2.78034,5.33942,-33.6794,-0.661101,
4.95684,2.78333,5.33384,-33.6755,-0.633964,
4.95732,2.78338,5.33374,-33.6754,-0.633504,
5.04153,2.79099,5.30854,-33.6668,-0.553612,
5.087,2.79545,5.29871,-33.6597,-0.509787,
5.13038,2.79883,5.28936,-33.6533,-0.467925,
5.16247,2.80074,5.28297,-33.6469,-0.437131,
5.22777,2.8048,5.26813,-33.6377,-0.374205,
5.30513,2.81216,5.24846,-33.6251,-0.300451,
5.3193,2.81341,5.24524,-33.6232,-0.286795,
5.36613,2.81611,5.23193,-33.6165,-0.242382,
5.41758,2.81886,5.21381,-33.6095,-0.194752,
5.45747,2.81798,5.20026,-33.6067,-0.157341,
5.46531,2.81774,5.1974,-33.6061,-0.15007,
5.50523,2.81724,5.18626,-33.6008,-0.112099,
5.57005,2.81454,5.1677,-33.5922,-0.0505928,
5.59311,2.81278,5.15985,-33.5909,-0.0289455,
